,year,total_renewable_energy(%),Country_code,country,is_aggregate
2130,1998,32.2338439715611,TEA,East Asia & Pacific (IDA & IBRD countries),True
2150,1998,59.8885425027835,IDB,IDA blend,True
2162,1998,23.1288900172237,EAS,East Asia & Pacific,True
2164,1998,33.5170586714913,OSS,Other small states,True
2168,1998,39.6826086956522,PSS,Pacific island small states,True
2173,1998,9.84080288573423,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
2175,1998,13.8078144416829,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
2182,1998,29.3427171305814,IBT,IDA & IBRD total,True
2187,1998,31.8998184093045,EAP,East Asia & Pacific (excluding high income),True
2198,1998,27.4042516418942,SST,Small states,True
2213,1998,23.7372809053807,IBD,IBRD only,True
2222,1998,6.85543054731247,ARB,Arab World,True
2224,1998,84.6345365548379,AFW,Africa Western and Central,True
2228,1999,7.25532236811895,PST,Post-demographic dividend,True
2230,1999,65.058400842755,AFE,Africa Eastern and Southern,True
2231,1999,32.6275959592939,TEA,East Asia & Pacific (IDA & IBRD countries),True
2232,1999,7.4962474207318,EMU,Euro area,True
2240,1999,6.84237456096337,ARB,Arab World,True
2244,1999,28.0925963661063,SST,Small states,True
2250,1999,79.1426120655608,PRE,Pre-demographic dividend,True
2258,1999,59.2094645639843,IDB,IDA blend,True
2262,1999,44.8256476683938,PSS,Pacific island small states,True
2266,1999,49.2871539285803,TSA,South Asia (IDA & IBRD),True
2269,1999,49.2871539285803,SAS,South Asia,True
2283,1999,72.8010318142734,SSF,Sub-Saharan Africa,True
2285,1999,7.94488723313608,OED,OECD members,True
2288,1999,77.5074243250614,IDX,IDA only,True
2294,1999,9.48092307692308,CSS,Caribbean small states,True
2297,1999,9.73105163862094,CEB,Central Europe and the Baltics,True
2299,1999,72.8184789286153,SSA,Sub-Saharan Africa (excluding high income),True
2303,1999,72.8010318142734,TSS,Sub-Saharan Africa (IDA & IBRD countries),True
2310,1999,85.3906756656255,HPC,Heavily indebted poor countries (HIPC),True
2314,1999,67.9488241997981,IDA,IDA total,True
2317,1999,31.0236331628692,EAR,Early-demographic dividend,True
2318,1999,7.49497472993365,NAC,North America,True
2320,1999,29.1029641644889,LCN,Latin America & Caribbean,True
2322,1999,8.62009949477329,EUU,European Union,True
2336,1999,32.6767375613756,MIC,Middle income,True
2341,1999,22.0535296369733,LTE,Late-demographic dividend,True
2344,1999,17.8778259194218,WLD,World,True
2347,1999,22.9994978699756,EAS,East Asia & Pacific,True
2355,1999,6.06426855416651,TEC,Europe & Central Asia (IDA & IBRD countries),True
2361,1999,13.3162300840016,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
2373,1999,29.4611526265173,LAC,Latin America & Caribbean (excluding high income),True
2379,1999,7.89683591543613,ECA,Europe & Central Asia (excluding high income),True
2385,1999,32.2546314207469,EAP,East Asia & Pacific (excluding high income),True
2400,1999,29.2264893102207,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
2413,1999,7.54152190208447,ECS,Europe & Central Asia,True
2417,1999,84.1100241118791,LDC,Least developed countries: UN classification,True
2420,1999,13.3239428300195,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
2444,1999,34.3080965526018,LMY,Low & middle income,True
2447,1999,9.5698853035405,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
2454,1999,34.2259154203198,OSS,Other small states,True
2459,1999,29.585878846355,IBT,IDA & IBRD total,True
2471,1999,23.8783428752472,IBD,IBRD only,True
2473,1999,84.0050390759189,AFW,Africa Western and Central,True
2476,2000,23.4541240735978,IBD,IBRD only,True
2488,2000,7.10318257512277,PST,Post-demographic dividend,True
2491,2000,7.69138271481507,EMU,Euro area,True
2509,2000,33.860073099648,LMY,Low & middle income,True
2512,2000,32.0473838064782,TEA,East Asia & Pacific (IDA & IBRD countries),True
2536,2000,7.60963626922575,ECS,Europe & Central Asia,True
2540,2000,83.8156995400155,LDC,Least developed countries: UN classification,True
2543,2000,9.38184318723493,MEA,"Middle East, North Africa, Afghanistan & Pakistan",True
2553,2000,28.5774086987318,TLA,Latin America & the Caribbean (IDA & IBRD countries),True
2559,2000,7.62529126114546,ECA,Europe & Central Asia (excluding high income),True
2562,2000,13.0038960774325,MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",True
2565,2000,31.6527774362387,EAP,East Asia & Pacific (excluding high income),True
2571,2000,12.9920002860324,TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",True
